地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年
北京市,35445.1,33106,29883,27041.2,24779.1,22926,21134.6,19024.7,17188.8
天津市,14055.5,13362.9,12450.6,11477.2,10879.5,10640.6,9945.4,9043,8112.5
河北省,34978.6,32494.6,30640.8,28474.1,26398.4,25208.9,24259.6,23077.5,21384.7
山西省,16961.6,15958.1,14484.3,11946.4,11836.4,12094.7,11987.2,11683.1,10894.4
内蒙古自治区,17212.5,16140.8,14898.1,13789.3,12949,12158.2,11392.4,10470.1,9458.1
辽宁省,24855.3,23510.5,21693,20392.5,20210.3,20025.7,19208.8,17848.6,16354.9
吉林省,11726.8,11253.8,10922,10427,10018,9966.5,9427.9,8678,7734.6
黑龙江省,13544.4,12846.5,12313,11895,11690,12170.8,11849.1,11015.8,9935
上海市,37987.6,36011.8,32925,29887,26887,25269.8,23204.1,21305.6,20009.7
江苏省,98656.8,93207.6,85869.8,77350.9,71255.9,64830.5,59349.4,53701.9,48839.2
浙江省,62462,58002.8,52403.1,47254,43507.7,40023.5,37334.6,34382.4,31854.8
安徽省,36845.5,34010.9,29676.2,26307.7,23831.2,22519.7,20584,18341.7,16284.9
福建省,42326.6,38687.8,33842.4,29609.4,26819.5,24942.1,22503.8,20190.7,17917.7
江西省,24667.3,22716.5,20210.8,18388.6,16780.9,15667.8,14300.2,12807.7,11584.5
山东省,70540.5,66648.9,63012.1,58762.5,55288.8,50774.8,47344.3,42957.3,39064.9
河南省,53717.8,49935.9,44824.9,40249.3,37084.1,34574.8,31632.5,28961.9,26318.7
湖北省,45429,42022,37235,33353,30344,28242.1,25378,22590.9,19942.5
湖南省,39894.1,36329.7,33828.1,30853.5,28538.6,25881.3,23545.2,21207.2,18915
广东省,107986.9,99945.2,91648.7,82163.2,74732.4,68173,62503.4,57007.7,53072.8
广西省,21237.1,19627.8,17790.7,16116.6,14797.8,13587.8,12448.4,11303.6,10299.9
海南省,5330.8,4910.7,4497.5,4090.2,3734.2,3449,3115.9,2789.4,2463.8
重庆市,23605.8,21588.8,20066.3,18023,16040.5,14623.8,13027.6,11595.4,10161.2
四川省,46363.8,42902.1,37905.1,33138.5,30342,28891.3,26518,23922.4,21050.9
贵州省,16769.3,15353.2,13605.4,11792.4,10541,9173.1,7973.1,6742.2,5615.6
云南省,23223.8,20880.6,18486,16369,14960,14041.7,12825.5,11097.4,9523.1
西藏省,1697.8,1548.4,1349,1173,1043,939.7,828.2,710.2,611.5
陕西省,25793.2,23941.9,21473.5,19045.8,17898.8,17402.5,15905.4,14142.4,12175.1
甘肃省,8718.3,8104.1,7336.7,6907.9,6556.6,6518.4,6014.5,5393.1,4816.9
青海省,2941.1,2748,2465.1,2258.2,2011,1847.7,1713.3,1528.5,1370.4
宁夏回族自治区,3748.5,3510.2,3200.3,2781.4,2579.4,2473.9,2327.7,2131,1931.8
新疆省,13597.1,12809.4,11159.9,9630.8,9306.9,9264.5,8392.6,7411.8,6532
