指标,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年
国民总收入(亿元),1009151,984179,914327.1,831381.2,743408.3,686255.7,644380.2,588141.2,537329,483392.8
国内生产总值(亿元),1015986.2,986515.2,919281.1,832035.9,746395.1,688858.2,643563.1,592963.2,538580,487940.2
第一产业增加值(亿元),77754.1,70473.6,64745.2,62099.5,60139.2,57774.6,55626.3,53028.1,49084.6,44781.5
第二产业增加值(亿元),384255.3,380670.6,364835.2,331580.5,295427.8,281338.9,277282.8,261951.6,244639.1,227035.1
第三产业增加值(亿元),553976.8,535371,489700.8,438355.9,390828.1,349744.7,310654,277983.5,244856.2,216123.6
人均国内生产总值(元),72447,70581,66006,60014,54139,50237,47173,43684,39874,36302
注：1.1980年以后国民总收入与国内生产总值的差额为来自国外的初次分配收入净额。,,,,,,,,,,
　　　2.三次产业分类依据国家统计局2018年修订的《三次产业划分规定》。第一产业是指农、林、牧、渔业（不含农、林、牧、渔专业及辅助性活动）；第二产业是指采矿业（不含开采专业及辅助性活动），制造业（不含金属制品、机械和设备修理业），电力、热力、燃气及水生产和供应业，建筑业；第三产业即服务业，是指除第一产业、第二产业以外的其他行业。,,,,,,,,,,
　　　3.按照我国国内生产总值（GDP）数据修订制度和国际通行作法，在第四次全国经济普查后，对2018年及以前年度的GDP历史数据进行了系统修订。,,,,,,,,,,
数据来源：国家统计局,,,,,,,,,,
